Date,close,high,low,open,volume,RSI,MACD,MACD_SIGNAL,SMA20,EMA20,BB_UPPER,BB_LOWER,ATR,CCI,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_neg,proba_sentiment_neu,proba_sentiment_pos,y_true
2025-04-19,85063.414062,85597.703125,84353.460938,84450.867188,15259300427,52.972234,21.115449,-500.635116,82780.461719,83591.061769,87781.669681,77779.253756,3821.103237,79.026578,0.427273,0.441660,,,,,1
2025-04-20,85174.304688,85306.382812,83976.843750,85066.070312,14664050812,53.213903,131.887441,-374.130605,82911.731250,83741.846921,88023.937926,77799.524574,3444.143415,66.361516,0.436364,0.443012,,,,,1
2025-04-21,87518.906250,88460.093750,85143.835938,85171.539062,41396190190,58.114916,404.202228,-218.464038,83029.217969,84101.567099,88458.060666,77600.375271,3203.705915,132.393323,0.436364,0.442817,,,,,1
2025-04-22,93441.890625,93817.382812,87084.531250,87521.875000,55899038456,67.404278,1085.429415,42.314652,83577.026953,84991.122262,90716.539545,76437.514362,3354.204799,237.385453,0.436364,0.443165,,,,,1
2025-04-23,93699.109375,94535.734375,91962.960938,93427.585938,41719568821,67.738899,1627.303306,359.312383,84106.841016,85820.454825,92551.554958,75662.127074,2898.593750,240.749429,0.436364,0.449240,,,,,1
2025-04-24,93943.796875,94016.195312,91696.710938,93692.398438,31483175315,68.074653,2052.822471,698.014401,84611.840625,86594.106834,94130.063477,75093.617773,2761.071429,198.602640,0.490909,0.451890,,,,,1
2025-04-25,94720.500000,95768.390625,92898.593750,93954.250000,40915232364,69.171442,2424.770808,1043.365682,85172.625781,87368.049389,95685.810871,74659.440692,2586.688616,182.090446,0.545455,0.454791,,,,,0
2025-04-26,94646.929688,95251.359375,93927.250000,94714.648438,17612825123,68.929881,2682.681722,1371.228890,85994.248047,88061.276367,96782.633402,75205.862692,2460.781250,148.652945,0.436364,0.458250,,,,,0
2025-04-27,93754.843750,95301.203125,93665.398438,94660.906250,18090367764,65.923595,2783.013923,1653.585897,86720.223437,88603.521080,97547.597378,75892.849497,2364.183036,120.300321,0.436364,0.461417,,,,,1
2025-04-28,94978.750000,95598.492188,92860.804688,93755.304688,32363449569,67.986513,2927.539052,1908.376528,87655.563281,89210.685942,97898.833951,77412.292611,2409.730469,107.033624,0.436364,0.462182,,,,,0
2025-04-29,94284.789062,95485.414062,93796.632812,94981.859375,25806129921,65.562929,2952.050452,2117.111313,88241.105078,89693.934004,98599.508840,77882.701316,2328.176897,93.872918,0.436364,0.466011,,,,,0
2025-04-30,94207.312500,95249.320312,92979.640625,94286.468750,28344679831,65.283124,2931.432476,2279.975545,88970.163672,90123.779692,98815.344167,79124.983177,2324.035156,78.588612,0.436364,0.467427,,,,,1
2025-05-01,96492.335938,97437.960938,94153.632812,94212.859375,32875889623,69.427286,3064.151778,2436.810792,89624.538672,90730.309009,99650.316711,79598.760633,2437.250000,95.235426,,,,,,,1
2025-05-02,96910.070312,97905.898438,96375.945312,96494.968750,26421924677,70.129284,3166.538280,2582.756290,90205.686719,91318.857836,100516.264705,79895.108732,2489.663504,99.558967,0.446154,0.491982,,,,,0
2025-05-03,95891.796875,96943.882812,95821.289062,96904.632812,15775154889,66.142424,3129.440421,2692.093116,90816.027734,91754.375928,100944.933241,80687.122228,2480.974330,80.792220,0.446154,0.495228,,,,,0
2025-05-04,94315.976562,96318.921875,94173.429688,95877.187500,18198688416,60.418084,2939.006280,2741.475749,91304.707031,91998.337938,101096.647028,81512.767035,2539.256696,57.665278,0.446154,0.497873,,,,,1
2025-05-05,94748.054688,95193.187500,93566.265625,94319.562500,25816260327,61.404416,2790.780349,2751.336669,91858.660156,92260.215767,101067.982011,82649.338302,2418.589844,47.055135,0.446154,0.497487,,,,,1
2025-05-06,96802.476562,96889.179688,93399.859375,94748.382812,26551275827,65.771810,2806.729783,2762.415292,92497.090625,92692.812098,101177.585508,83816.595742,2186.909040,63.842105,0.446154,0.495554,,,,,1
