Date,close,ret,open,high,low,volume,SMA20,EMA20,RSI,MACD,MACD_SIGNAL,BB_UPPER,BB_LOWER,ATR,CCI,proba_lstm,signal,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_pos,proba_sentiment_neu,proba_sentiment_neg
2025-02-09,96500.093750,0.000183,96481.312500,97325.281250,94745.257812,27732901800,101029.117188,99282.490376,42.156358,-948.771339,-137.653756,107808.884023,94249.350352,4221.000000,-113.330837,0.454016,1.000000,0.666667,0.643593,0.516433,0.126500,0.811100,0.062400
2025-02-10,97437.554688,0.009715,96499.460938,98333.218750,95320.843750,40078962391,100593.681641,99106.651723,44.894116,-963.415238,-302.806070,107102.896370,94084.466911,4049.157366,-83.272455,0.450313,1.000000,0.555556,0.609532,0.517864,0.086209,0.748675,0.165117
2025-02-11,95747.429688,-0.017346,97438.132812,98492.898438,94875.039062,37488783272,100198.399609,98786.510861,41.115799,-1098.272616,-461.899392,106883.154522,93513.644697,4058.102121,-88.196987,0.453327,1.000000,0.555556,0.639967,0.517566,0.170983,0.710229,0.118788
2025-02-12,97885.859375,0.022334,95745.695312,98151.023438,94101.203125,49340445530,99894.683984,98700.682389,47.173673,-1021.349474,-573.789416,106409.611011,93379.756958,4099.733259,-73.396585,0.443238,0.000000,0.545455,0.588366,0.516846,0.228200,0.559000,0.212800
2025-02-13,96623.867188,-0.012892,97888.750000,98111.085938,95269.710938,37147280860,99484.903125,98502.781692,44.278586,-1049.820134,-668.995565,105720.564215,93249.242035,4081.465960,-68.981460,0.443719,0.000000,0.555556,0.595656,0.516411,0.328300,0.628300,0.043400
2025-02-14,97508.968750,0.009160,96623.367188,98819.468750,96342.804688,32697987277,99124.619141,98408.085750,46.747049,-989.739209,-733.144296,104903.973839,93345.264442,3938.194196,-43.002378,0.449201,0.000000,0.555556,0.531439,0.515170,0.108789,0.592541,0.298670
2025-02-15,97580.351562,0.000732,97508.382812,97975.039062,97240.195312,17047266288,98869.511719,98329.218438,46.951160,-925.704975,-771.656433,104434.044492,93304.978945,3815.110491,-37.879809,0.449571,0.000000,0.555556,0.511564,0.515866,0.151200,0.735400,0.113400
2025-02-16,96175.031250,-0.014402,97580.492188,97725.593750,96060.976562,16536755396,98573.878906,98123.974203,43.422550,-976.831860,-812.691520,104046.003734,93101.754078,3561.541295,-62.645936,0.446608,0.000000,0.666667,0.528798,0.517025,0.013700,0.986300,0.000000
2025-02-17,95773.382812,-0.004176,96179.007812,97032.234375,95243.546875,27336550690,98295.924219,97900.025875,42.440810,-1037.723804,-857.697978,103742.747616,92849.100822,2884.213170,-79.685753,0.452141,1.000000,0.555556,0.520380,0.518258,0.141800,0.818800,0.039400
2025-02-18,95539.546875,-0.002442,95773.812500,96695.375000,93388.835938,37325720482,97887.741016,97675.143413,41.847609,-1092.217106,-904.601804,102828.421774,92947.060258,2724.858259,-107.083468,0.453111,1.000000,0.545455,0.519877,0.515783,0.274000,0.607200,0.118800
2025-02-19,96635.609375,0.011472,95532.531250,96855.593750,95011.968750,28990872862,97482.756250,97576.110314,45.680138,-1035.183863,-930.718216,101248.180735,93717.331765,2646.661272,-72.180567,0.449849,0.000000,0.545455,0.452263,0.516912,0.169183,0.770823,0.059994
2025-02-20,98333.937500,0.017575,96632.679688,98767.195312,96442.671875,31668022771,97279.201953,97648.304024,51.062027,-843.449985,-913.264570,100288.472212,94269.931694,2565.465960,43.494746,0.444326,0.000000,0.545455,0.402376,0.516972,0.145500,0.643500,0.211000
2025-02-21,96125.546875,-0.022458,98340.671875,99497.968750,94852.960938,49608706470,97052.683984,97503.243733,44.840644,-859.512444,-902.514145,99644.866195,94460.501773,2575.805246,-18.941186,0.449663,0.000000,0.545455,0.436857,0.517284,0.202180,0.558144,0.239676
2025-02-22,96577.757812,0.004704,96134.203125,96950.156250,95765.343750,18353824477,96997.123047,97415.082531,46.283900,-826.277831,-887.266882,99579.498012,94414.748082,2576.483817,-50.106290,0.446578,0.000000,0.545455,0.392663,0.518834,0.068900,0.781300,0.149800
2025-02-23,96273.921875,-0.003146,96577.804688,96671.875000,95270.453125,16999478976,96740.548047,97306.378602,45.423914,-815.026613,-872.818828,98293.097322,95187.998771,2492.297991,-81.095812,0.435807,0.000000,0.555556,0.373296,0.519146,0.470000,0.530000,0.000000
2025-02-24,91418.171875,-0.050437,96277.960938,96503.453125,91371.742188,44046480529,96417.865625,96745.494485,34.417563,-1183.794580,-935.013979,99186.672178,93649.059072,2643.679129,-331.705108,0.449913,0.000000,0.666667,0.520862,0.517540,0.237400,0.536800,0.225800
2025-02-25,88736.171875,-0.029338,91437.117188,92511.078125,86008.234375,92139104128,96023.901953,95982.575684,30.081938,-1672.920951,-1082.595374,100431.553431,91616.250475,2849.749442,-421.139903,0.491001,1.000000,0.666667,0.637308,0.520512,0.080800,0.307700,0.611500
2025-02-26,84347.023438,-0.049463,88638.890625,89286.250000,82131.898438,64597492134,95411.588281,94874.262014,24.616715,-2386.825533,-1343.441406,102229.626747,88593.549815,3071.501674,-351.767695,0.503184,1.000000,0.666667,0.800828,0.522295,0.152600,0.531400,0.316000
2025-02-27,84704.226562,0.004235,84076.859375,87000.781250,83144.960938,52659591954,94820.345312,93905.556066,25.798221,-2890.473857,-1652.847897,103120.177391,86520.513234,3143.962054,-243.712118,0.513089,1.000000,0.666667,0.805743,0.521578,0.234100,0.380300,0.385600
2025-02-28,84373.007812,-0.003910,84705.625000,85036.320312,78248.914062,83610570576,94214.873047,92997.583113,25.400672,-3278.518587,-1977.982036,103688.010522,84741.735572,3451.872210,-215.169580,0.526982,1.000000,0.666667,0.869060,0.520919,0.045600,0.365700,0.588700
2025-03-01,86031.914062,0.019662,84373.867188,86522.304688,83794.234375,29190628396,93691.464063,92334.112534,31.125359,-3412.949027,-2264.975434,103770.374086,83612.554039,3594.245536,-131.622416,,,0.666667,0.869060,0.520919,0.088400,0.601450,0.310150
2025-03-02,94248.351562,0.095505,86036.257812,95043.437500,85040.210938,58398341092,93532.003906,92516.439294,51.129177,-2824.441969,-2376.868741,103461.167833,83602.839980,4189.860491,-31.054228,,,0.440000,0.586870,0.497698,0.131200,0.837200,0.031600
2025-03-03,86065.671875,-0.086820,94248.421875,94429.750000,85081.304688,70072228536,93047.916016,91902.024755,38.985434,-2983.451151,-2498.185224,103454.852854,82640.979177,4729.843192,-68.226122,,,0.516129,0.698432,0.505168,0.199200,0.648500,0.152300
2025-03-04,87222.195312,0.013438,86064.070312,88911.273438,81529.242188,68095241474,92514.732813,91456.290128,41.114247,-2981.830297,-2594.914238,102970.587153,82058.878472,5020.949777,-94.158072,,,0.440000,0.584218,0.503133,0.239900,0.557300,0.202800
2025-03-05,90623.562500,0.038997,87222.953125,90998.242188,86379.773438,50498988027,92214.717578,91376.976845,46.973968,-2675.410212,-2611.013433,102517.344575,81912.090581,5219.152902,-39.715681,0.400669,0.000000,0.516129,0.542211,0.499089,0.197700,0.609800,0.192500
