date,proba_rfc_cal,proba_sgd_cal,y_true,month
2022-03-02,0.608696,0.450081,0,2022-03
2022-03-03,0.444444,0.507294,0,2022-03
2022-03-04,0.421053,0.608135,1,2022-03
2022-03-05,0.421053,0.539058,0,2022-03
2022-03-06,0.421053,0.579920,0,2022-03
2022-03-07,0.444444,0.577875,1,2022-03
2022-03-08,0.421053,0.539372,1,2022-03
2022-03-09,0.444444,0.436720,0,2022-03
2022-03-10,0.421053,0.580410,0,2022-03
2022-03-11,0.421053,0.559230,1,2022-03
2022-03-12,0.421053,0.541860,0,2022-03
2022-03-13,0.421053,0.590034,1,2022-03
2022-03-14,0.421053,0.525535,0,2022-03
2022-03-15,0.421053,0.564051,1,2022-03
2022-03-16,0.421053,0.491186,0,2022-03
2022-03-17,0.421053,0.518861,1,2022-03
2022-03-18,0.444444,0.497480,1,2022-03
2022-03-19,0.500000,0.489090,0,2022-03
2022-03-20,0.421053,0.529530,0,2022-03
2022-03-21,0.421053,0.518610,1,2022-03
2022-03-22,0.444444,0.464723,1,2022-03
2022-03-23,0.444444,0.470130,1,2022-03
2022-03-24,0.444444,0.447272,1,2022-03
2022-03-25,0.444444,0.451985,1,2022-03
2022-03-26,0.444444,0.455233,1,2022-03
2022-03-27,0.444444,0.388229,1,2022-03
2022-03-28,0.421053,0.408290,1,2022-03
2022-03-29,0.421053,0.409189,0,2022-03
2022-03-30,0.421053,0.440204,0,2022-03
2022-03-31,0.608696,0.485863,1,2022-03
2022-04-02,0.593750,0.562555,1,2022-04
2022-04-03,0.478261,0.553484,1,2022-04
2022-04-04,0.593750,0.574613,0,2022-04
2022-04-05,0.666667,0.559501,0,2022-04
2022-04-06,0.593750,0.558097,1,2022-04
2022-04-07,0.478261,0.500638,0,2022-04
2022-04-08,0.593750,0.522852,1,2022-04
2022-04-09,0.478261,0.490300,0,2022-04
2022-04-10,0.478261,0.503985,0,2022-04
2022-04-11,0.666667,0.564449,1,2022-04
2022-04-12,0.666667,0.505200,1,2022-04
2022-04-13,0.593750,0.523445,0,2022-04
2022-04-14,0.593750,0.565248,1,2022-04
2022-04-15,0.478261,0.534837,0,2022-04
2022-04-16,0.478261,0.542177,0,2022-04
2022-04-17,0.593750,0.542845,1,2022-04
2022-04-18,0.478261,0.535905,1,2022-04
2022-04-19,0.478261,0.522738,0,2022-04
2022-04-20,0.478261,0.526511,0,2022-04
2022-04-21,0.478261,0.525199,0,2022-04
2022-04-22,0.478261,0.505513,0,2022-04
2022-04-23,0.478261,0.467276,0,2022-04
2022-04-24,0.478261,0.438913,1,2022-04
2022-04-25,0.478261,0.448893,0,2022-04
2022-04-26,0.593750,0.483379,1,2022-04
2022-04-27,0.593750,0.422237,1,2022-04
2022-04-28,0.478261,0.433949,0,2022-04
2022-04-29,0.593750,0.454303,0,2022-04
2022-04-30,0.593750,0.434584,1,2022-04
2022-05-02,0.486486,0.520037,0,2022-05
2022-05-03,0.486486,0.525345,1,2022-05
2022-05-04,0.250000,0.511174,0,2022-05
2022-05-05,0.486486,0.533093,0,2022-05
2022-05-06,0.636364,0.537202,0,2022-05
2022-05-07,0.636364,0.540219,0,2022-05
2022-05-08,0.636364,0.548209,0,2022-05
2022-05-09,0.636364,0.571202,1,2022-05
2022-05-10,0.636364,0.565928,0,2022-05
2022-05-11,0.636364,0.578284,1,2022-05
2022-05-12,0.636364,0.579920,1,2022-05
2022-05-13,0.636364,0.574719,1,2022-05
2022-05-14,0.636364,0.571322,1,2022-05
2022-05-15,0.636364,0.563496,0,2022-05
2022-05-16,0.636364,0.568504,1,2022-05
2022-05-17,0.636364,0.562669,0,2022-05
2022-05-18,0.636364,0.568858,1,2022-05
2022-05-19,0.636364,0.559368,0,2022-05
2022-05-20,0.636364,0.562633,1,2022-05
2022-05-21,0.636364,0.558440,1,2022-05
2022-05-22,0.636364,0.551477,0,2022-05
2022-05-23,0.636364,0.554640,1,2022-05
2022-05-24,0.636364,0.548295,0,2022-05
2022-05-25,0.636364,0.544719,0,2022-05
2022-05-26,0.636364,0.545839,0,2022-05
2022-05-27,0.636364,0.546870,1,2022-05
2022-05-28,0.636364,0.544174,1,2022-05
2022-05-29,0.486486,0.536482,1,2022-05
2022-05-30,0.636364,0.510470,1,2022-05
2022-05-31,0.636364,0.505264,0,2022-05
2022-06-02,0.548387,0.505671,0,2022-06
2022-06-03,0.548387,0.505903,1,2022-06
2022-06-04,0.548387,0.505152,1,2022-06
2022-06-05,0.548387,0.505851,1,2022-06
2022-06-06,0.548387,0.510209,0,2022-06
